Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
27.4424290657	0	-193.080789132	50.2788381342	-15.459381344	-317.439626144	151.0	0.0	50132	50132	-0.78399
50.7721850872	1	-218.307121245	50.1615290257	-93.4291501763	-354.483824281	151.0	0.0	50132	100264	-0.721292
73.783356905	2	-154.194194324	42.4465713698	-5.16671422126	-321.423095382	151.0	0.0	50132	150396	-0.230498
96.5645580292	3	-127.821030801	36.076329282	9.8227929293	-247.831766026	151.0	0.0	50132	200528	-0.189622
119.668453932	4	-119.835149278	37.2755234165	29.1694741203	-232.690443384	151.0	0.0	50132	250660	-0.167392
142.668720961	5	-96.8152806503	36.8874976573	13.3079330338	-210.664316697	151.0	0.0	50132	300792	-0.166756
165.091355085	6	-82.673862339	35.2123161621	6.52542183269	-215.417413626	151.0	0.0	50132	350924	-0.144479
187.890856028	7	-69.9343957403	29.4140391797	-5.67778198817	-168.784098609	151.0	0.0	50132	401056	-0.132638
210.915590048	8	-64.088453438	28.6443732331	13.3459051043	-161.832014052	151.0	0.0	50132	451188	-0.147848
233.692847013	9	-58.9244633455	24.5325887765	-2.51873035573	-158.111075322	151.0	0.0	50132	501320	-0.150438
256.789396048	10	-50.4090744964	24.1360858754	28.8794519962	-137.402046061	151.0	0.0	50132	551452	-0.1384
279.925401926	11	-43.7624836751	25.1588745913	20.9049278373	-168.601622319	151.0	0.0	50132	601584	-0.145321
302.906904936	12	-35.9657737824	24.8443056638	28.0730262561	-130.754039023	151.0	0.0	50132	651716	-0.127679
326.135406971	13	-33.0717676235	29.7955282796	46.4928745065	-139.755500919	151.0	0.0	50132	701848	-0.112388
348.784081936	14	-33.892429814	32.2190067919	39.0666498711	-171.90005432	151.0	0.0	50132	751980	-0.0971337
371.616427898	15	-30.0024204249	37.7546897348	56.9596098777	-231.335472337	151.0	0.0	50132	802112	-0.0988988
