Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
0.7948129177093506	0	21.3404255319	7.96875973623	39.0	9.0	21.3404255319	7.96875973623	1003	1003	-0.00881281
1.1415038108825684	1	28.9714285714	14.7386483472	69.0	11.0	28.9714285714	14.7386483472	1014	2017	-0.00967386
1.4898438453674316	2	28.7142857143	12.3278347736	54.0	12.0	28.7142857143	12.3278347736	1005	3022	-0.0111325
1.9137239456176758	3	30.5757575758	14.8242845461	68.0	9.0	30.5757575758	14.8242845461	1009	4031	-0.00745701
2.3405649662017822	4	31.6875	17.1909087529	72.0	13.0	31.6875	17.1909087529	1014	5045	-0.0122546
2.7150659561157227	5	31.5625	20.0233262409	118.0	12.0	31.5625	20.0233262409	1010	6055	-0.00908896
3.102695941925049	6	29.0285714286	16.4707285194	91.0	11.0	29.0285714286	16.4707285194	1016	7071	-0.00484083
3.6140849590301514	7	32.7096774194	17.8600176072	80.0	11.0	32.7096774194	17.8600176072	1014	8085	-0.0181146
4.041929006576538	8	33.5161290323	18.2507109322	99.0	11.0	33.5161290323	18.2507109322	1039	9124	-0.00973127
4.438845872879028	9	41.75	16.4399158554	73.0	9.0	41.75	16.4399158554	1002	10126	-0.00580531
4.827263832092285	10	47.0	25.0327058792	103.0	12.0	47.0	25.0327058792	1034	11160	-0.0126814
5.277923822402954	11	47.1304347826	23.0241920933	111.0	18.0	47.1304347826	23.0241920933	1084	12244	-0.00797322
5.966986894607544	12	40.72	17.4780319258	82.0	17.0	40.72	17.4780319258	1018	13262	-0.00573119
6.644505977630615	13	40.0	16.1101974395	70.0	16.0	40.0	16.1101974395	1040	14302	-0.013195
7.057386875152588	14	50.45	27.4835860106	137.0	19.0	50.45	27.4835860106	1009	15311	-0.00324636
7.428542852401733	15	50.1	25.5830021694	113.0	19.0	50.1	25.5830021694	1002	16313	-0.0103599
8.337124824523926	16	57.3684210526	31.8585864264	127.0	25.0	57.3684210526	31.8585864264	1090	17403	-0.00605315
9.22239899635315	17	47.8571428571	14.6686764238	84.0	26.0	47.8571428571	14.6686764238	1005	18408	-2.63668e-06
9.699965000152588	18	47.3636363636	26.1386955481	133.0	16.0	47.3636363636	26.1386955481	1042	19450	-0.011481
10.065268993377686	19	42.0833333333	13.7292773137	73.0	19.0	42.0833333333	13.7292773137	1010	20460	-0.0066731
10.399492979049683	20	52.6842105263	24.2748573232	121.0	18.0	52.6842105263	24.2748573232	1001	21461	-0.0172327
10.868352890014648	21	46.4545454545	17.6396435563	81.0	22.0	46.4545454545	17.6396435563	1022	22483	-0.00887322
11.701676845550537	22	54.4736842105	23.4102281314	102.0	23.0	54.4736842105	23.4102281314	1035	23518	-0.00317533
12.466888904571533	23	50.8571428571	19.186517375	86.0	23.0	50.8571428571	19.186517375	1068	24586	-0.0117528
12.83690595626831	24	68.7333333333	43.0557261645	182.0	26.0	68.7333333333	43.0557261645	1031	25617	-0.0088751
13.51621699333191	25	58.1666666667	21.8536800867	106.0	20.0	58.1666666667	21.8536800867	1047	26664	-0.00264552
13.901046991348267	26	48.1428571429	15.6183217021	82.0	23.0	48.1428571429	15.6183217021	1011	27675	-0.0141063
14.441370010375977	27	54.1578947368	20.7193353833	92.0	23.0	54.1578947368	20.7193353833	1029	28704	0.00367989
14.762398958206177	28	59.6470588235	23.2554640675	115.0	25.0	59.6470588235	23.2554640675	1014	29718	-0.010397
15.232167959213257	29	62.625	20.3404615238	99.0	32.0	62.625	20.3404615238	1002	30720	-0.00160315
15.591372966766357	30	70.9333333333	27.5087056927	116.0	37.0	70.9333333333	27.5087056927	1064	31784	-0.0145657
15.936723947525024	31	59.5294117647	14.8050772176	85.0	40.0	59.5294117647	14.8050772176	1012	32796	0.0125434
16.275243997573853	32	56.8333333333	24.5905356681	137.0	26.0	56.8333333333	24.5905356681	1023	33819	-0.00139025
16.62434196472168	33	67.9333333333	20.7764824314	98.0	26.0	67.9333333333	20.7764824314	1019	34838	0.00261879
16.993006944656372	34	61.6470588235	26.5793842634	142.0	27.0	61.6470588235	26.5793842634	1048	35886	0.0231242
17.463385820388794	35	73.0714285714	27.3821221282	139.0	30.0	73.0714285714	27.3821221282	1023	36909	0.000294537
17.98666286468506	36	68.2666666667	21.0601255668	111.0	24.0	68.2666666667	21.0601255668	1024	37933	-0.00570527
18.36129593849182	37	59.8235294118	21.7721767782	106.0	23.0	59.8235294118	21.7721767782	1017	38950	-0.0124678
18.709998846054077	38	65.25	21.4199089634	126.0	32.0	65.25	21.4199089634	1044	39994	0.00126796
19.049027919769287	39	72.2857142857	28.1740219032	127.0	27.0	72.2857142857	28.1740219032	1012	41006	-0.000613397
19.48668098449707	40	75.6428571429	23.0546157227	114.0	30.0	75.6428571429	23.0546157227	1059	42065	-0.01981
19.908358812332153	41	114.888888889	55.796145714	200.0	35.0	114.888888889	55.796145714	1034	43099	-0.000208377
20.419269800186157	42	86.75	27.86014178	134.0	58.0	86.75	27.86014178	1041	44140	0.00330385
20.81301498413086	43	75.9285714286	30.2169873834	168.0	41.0	75.9285714286	30.2169873834	1063	45203	-0.000330213
21.196581840515137	44	96.3333333333	36.3210988576	200.0	48.0	96.3333333333	36.3210988576	1156	46359	-0.00375648
21.54575800895691	45	101.8	33.0871576295	169.0	64.0	101.8	33.0871576295	1018	47377	-0.0184814
21.905001878738403	46	102.8	41.9661768571	163.0	48.0	102.8	41.9661768571	1028	48405	0.00372138
22.333507776260376	47	68.9333333333	23.4192703179	118.0	33.0	68.9333333333	23.4192703179	1034	49439	-0.0149402
22.656094789505005	48	112.555555556	47.6727527842	200.0	61.0	112.555555556	47.6727527842	1013	50452	-0.0134053
23.133903980255127	49	104.6	51.7575115321	190.0	34.0	104.6	51.7575115321	1046	51498	-0.0111196
23.630539894104004	50	139.875	40.3281461885	199.0	52.0	139.875	40.3281461885	1119	52617	-0.00551309
23.970927000045776	51	130.375	51.9373119732	200.0	64.0	130.375	51.9373119732	1043	53660	-0.00906552
24.295789003372192	52	128.875	38.1065529142	200.0	58.0	128.875	38.1065529142	1031	54691	-0.0228761
24.654610872268677	53	124.777777778	45.5333279106	200.0	26.0	124.777777778	45.5333279106	1123	55814	-0.0172708
25.017279863357544	54	126.0	25.2498624859	154.0	69.0	126.0	25.2498624859	1134	56948	-0.00832215
25.36323380470276	55	139.0	49.2214384186	200.0	59.0	139.0	49.2214384186	1112	58060	-0.0165085
25.742703914642334	56	142.375	38.1737393374	200.0	65.0	142.375	38.1737393374	1139	59199	0.000201558
26.090209007263184	57	146.857142857	43.3735553779	200.0	88.0	146.857142857	43.3735553779	1028	60227	-0.0163316
26.464810848236084	58	139.625	48.6696453141	200.0	78.0	139.625	48.6696453141	1117	61344	-0.0138143
26.803659915924072	59	146.285714286	41.3062232797	200.0	92.0	146.285714286	41.3062232797	1024	62368	-0.0142967
27.182652950286865	60	162.285714286	38.5920579754	200.0	97.0	162.285714286	38.5920579754	1136	63504	-0.00879051
27.57347583770752	61	168.857142857	33.8248791421	200.0	109.0	168.857142857	33.8248791421	1182	64686	-0.0135047
27.948346853256226	62	193.5	9.23309265631	200.0	179.0	193.5	9.23309265631	1161	65847	-0.012571
28.53885793685913	63	193.666666667	13.287420952	200.0	164.0	193.666666667	13.287420952	1162	67009	-0.00792022
28.90177297592163	64	178.5	25.1246890528	200.0	135.0	178.5	25.1246890528	1071	68080	-0.0127829
29.28515887260437	65	177.333333333	31.2605537734	200.0	115.0	177.333333333	31.2605537734	1064	69144	-0.0109105
29.64740490913391	66	159.0	36.3121388598	200.0	114.0	159.0	36.3121388598	1113	70257	-0.00578977
30.042327880859375	67	158.428571429	32.6271453279	200.0	104.0	158.428571429	32.6271453279	1109	71366	-0.0145057
30.429215908050537	68	169.142857143	27.539211377	200.0	124.0	169.142857143	27.539211377	1184	72550	0.00422148
30.821263790130615	69	167.333333333	46.2012505843	200.0	101.0	167.333333333	46.2012505843	1004	73554	-0.00462055
31.361555814743042	70	170.166666667	36.6943077632	200.0	117.0	170.166666667	36.6943077632	1021	74575	-0.0159294
31.69662880897522	71	171.166666667	23.9333565459	200.0	143.0	171.166666667	23.9333565459	1027	75602	-0.000678483
32.08848690986633	72	193.5	14.5344418537	200.0	161.0	193.5	14.5344418537	1161	76763	-0.00479577
32.405988931655884	73	167.666666667	29.8254179444	200.0	135.0	167.666666667	29.8254179444	1006	77769	-0.00442241
32.86417484283447	74	195.0	11.1803398875	200.0	170.0	195.0	11.1803398875	1170	78939	-0.00771439
33.32958197593689	75	167.428571429	35.7045701071	200.0	103.0	167.428571429	35.7045701071	1172	80111	-0.0169545
33.81574892997742	76	181.5	30.3081397208	200.0	118.0	181.5	30.3081397208	1089	81200	0.00155957
34.19554781913757	77	179.0	27.6827262627	200.0	122.0	179.0	27.6827262627	1074	82274	-0.00125215
34.60830593109131	78	188.0	14.6287388383	200.0	163.0	188.0	14.6287388383	1128	83402	-0.00689917
35.04261493682861	79	187.833333333	27.2054937262	200.0	127.0	187.833333333	27.2054937262	1127	84529	-0.012584
35.47004795074463	80	187.5	13.4629120178	200.0	165.0	187.5	13.4629120178	1125	85654	-0.0140699
35.895606994628906	81	190.0	22.360679775	200.0	140.0	190.0	22.360679775	1140	86794	-0.00403015
36.3274610042572	82	194.5	10.6105293616	200.0	171.0	194.5	10.6105293616	1167	87961	-0.0138369
36.77924299240112	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	89161	0.0208927
37.20244789123535	84	191.0	12.8452325787	200.0	170.0	191.0	12.8452325787	1146	90307	0.00457651
37.65753388404846	85	169.142857143	48.8011374909	200.0	90.0	169.142857143	48.8011374909	1184	91491	0.0105162
38.129558801651	86	171.428571429	45.2890940605	200.0	94.0	171.428571429	45.2890940605	1200	92691	-0.000471032
38.5541558265686	87	185.166666667	21.0746029355	200.0	152.0	185.166666667	21.0746029355	1111	93802	-0.00118396
39.03288292884827	88	196.5	7.38805341977	200.0	180.0	196.5	7.38805341977	1179	94981	-0.000556851
39.45275092124939	89	160.857142857	39.6031332506	200.0	87.0	160.857142857	39.6031332506	1126	96107	-0.0025311
39.79335594177246	90	167.333333333	45.0690827755	200.0	78.0	167.333333333	45.0690827755	1004	97111	-0.000682654
40.268876791000366	91	200.0	0.0	200.0	200.0	200.0	0.0	1200	98311	-0.00203139
40.716943979263306	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	99511	0.00373571
41.150195837020874	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	100711	-0.00273433
41.60807800292969	94	200.0	0.0	200.0	200.0	200.0	0.0	1200	101911	0.0180432
42.07135486602783	95	190.333333333	19.880196735	200.0	146.0	190.333333333	19.880196735	1142	103053	0.00763169
42.47465896606445	96	187.666666667	27.5781717225	200.0	126.0	187.666666667	27.5781717225	1126	104179	-0.00852946
42.86306381225586	97	178.333333333	31.2925266193	200.0	124.0	178.333333333	31.2925266193	1070	105249	0.000362284
43.289973974227905	98	179.166666667	37.9755038003	200.0	96.0	179.166666667	37.9755038003	1075	106324	-0.00716514
43.746333837509155	99	188.166666667	26.4601377337	200.0	129.0	188.166666667	26.4601377337	1129	107453	-0.0100938
