Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
7.06717205048	0	21.2936170213	11.5362039602	69.0	6.0	21.2936170213	11.5362039602	5004	5004	-0.00357518
8.95590305328	1	22.0748898678	8.37073959549	54.0	9.0	22.0748898678	8.37073959549	5011	10015	-0.00453518
11.1022529602	2	54.4565217391	21.2333889262	124.0	21.0	54.4565217391	21.2333889262	5010	15025	-0.0015024
12.9713151455	3	47.5849056604	14.3407770141	88.0	21.0	47.5849056604	14.3407770141	5044	20069	-0.00196239
14.8254170418	4	66.0131578947	16.8924566013	118.0	34.0	66.0131578947	16.8924566013	5017	25086	-0.00259465
16.6168940067	5	106.489361702	46.8568995535	257.0	58.0	106.489361702	46.8568995535	5005	30091	-0.00230119
18.4356200695	6	294.764705882	136.385927087	628.0	117.0	294.764705882	136.385927087	5011	35102	-0.000371375
20.3405020237	7	243.619047619	91.8899321862	511.0	142.0	243.619047619	91.8899321862	5116	40218	-0.000113958
22.3115460873	8	204.96	81.1958028472	451.0	130.0	204.96	81.1958028472	5124	45342	0.000170182
24.1746799946	9	158.71875	52.620833787	330.0	93.0	158.71875	52.620833787	5079	50421	-0.000310204
26.0485761166	10	135.972972973	47.0746884914	251.0	68.0	135.972972973	47.0746884914	5031	55452	-0.000643533
28.0804240704	11	128.512820513	37.1655146158	202.0	66.0	128.512820513	37.1655146158	5012	60464	-0.00021274
30.1610250473	12	138.486486486	45.4381799345	234.0	47.0	138.486486486	45.4381799345	5124	65588	-0.000924319
32.222413063	13	174.793103448	31.1297388697	249.0	105.0	174.793103448	31.1297388697	5069	70657	-0.00034684
34.1069300175	14	163.193548387	46.0899676683	304.0	86.0	163.193548387	46.0899676683	5059	75716	-0.000570074
36.0453350544	15	243.380952381	46.2111882871	359.0	175.0	243.380952381	46.2111882871	5111	80827	-2.26669e-05
37.9237771034	16	286.833333333	82.904396077	484.0	173.0	286.833333333	82.904396077	5163	85990	-6.04428e-06
39.8361549377	17	418.769230769	80.8856304117	546.0	290.0	418.769230769	80.8856304117	5444	91434	-0.000218904
41.7567241192	18	281.388888889	63.0908858437	474.0	224.0	281.388888889	63.0908858437	5065	96499	0.000358973
43.7445170879	19	189.888888889	31.0189109981	281.0	124.0	189.888888889	31.0189109981	5127	101626	-0.000197978
45.6004879475	20	200.76	25.0938717618	253.0	157.0	200.76	25.0938717618	5019	106645	-0.000390052
47.6529960632	21	236.363636364	34.8875406968	298.0	179.0	236.363636364	34.8875406968	5200	111845	-0.000517356
49.7467060089	22	301.647058824	59.324572011	412.0	194.0	301.647058824	59.324572011	5128	116973	-0.00177809
51.8662099838	23	225.608695652	136.10441616	578.0	85.0	225.608695652	136.10441616	5189	122162	-0.000538675
53.8967010975	24	175.724137931	83.4108636568	405.0	51.0	175.724137931	83.4108636568	5096	127258	-0.000678251
55.9575760365	25	137.135135135	53.5517744739	256.0	65.0	137.135135135	53.5517744739	5074	132332	-0.000296084
58.0038380623	26	102.94	32.5849106183	188.0	54.0	102.94	32.5849106183	5147	137479	-7.88933e-05
60.0062041283	27	115.590909091	58.0087447098	326.0	41.0	115.590909091	58.0087447098	5086	142565	0.000472934
61.752974987	28	108.804347826	46.1465621524	253.0	47.0	108.804347826	46.1465621524	5005	147570	-0.000532496
63.7704861164	29	149.058823529	69.9369216536	322.0	62.0	149.058823529	69.9369216536	5068	152638	0.000103752
65.8946549892	30	174.3	133.204892303	665.0	49.0	174.3	133.204892303	5229	157867	-0.000254028
67.8213191032	31	250.45	157.775307003	655.0	35.0	250.45	157.775307003	5009	162876	-0.000185732
70.0565531254	32	216.375	66.2871358183	363.0	91.0	216.375	66.2871358183	5193	168069	-0.000437461
71.9302310944	33	192.5	27.1665093593	244.0	134.0	192.5	27.1665093593	5005	173074	-1.97748e-05
73.7532610893	34	199.115384615	24.5910035505	258.0	160.0	199.115384615	24.5910035505	5177	178251	5.67995e-05
75.5742089748	35	236.090909091	27.9380956775	322.0	203.0	236.090909091	27.9380956775	5194	183445	0.000366111
77.5617260933	36	304.764705882	33.3599432426	365.0	231.0	304.764705882	33.3599432426	5181	188626	-0.000116887
79.6069271564	37	525.4	61.1967319389	600.0	404.0	525.4	61.1967319389	5254	193880	-0.000799511
81.5951700211	38	750.428571429	158.2085939	1000.0	570.0	750.428571429	158.2085939	5253	199133	-0.000323172
84.1908631325	39	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	205133	-0.000847057
86.6078150272	40	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	211133	-0.000357109
88.8795521259	41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	217133	1.00462e-05
91.1643149853	42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	223133	-0.000406671
93.4699470997	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	229133	-0.000587682
95.8279731274	44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	235133	-0.000217688
98.0369369984	45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	241133	-0.000531596
100.155570984	46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	247133	-0.000200887
102.307207108	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	253133	0.000485662
104.584498167	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	259133	-2.17706e-05
106.717982054	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	265133	-0.000876581
108.898915052	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	271133	-0.000421363
111.405629158	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	277133	-0.000566221
113.636017084	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	283133	0.000368818
116.014477015	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	289133	-6.12075e-05
118.414925098	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	295133	-0.000144518
120.731994152	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	301133	0.000772636
123.162862062	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	307133	-0.000577333
125.647276163	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	313133	-0.000753879
128.332762957	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	319133	-0.000594826
130.661484957	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	325133	-0.000546906
